"","Peripartum cardiomyopathy (PPCM)","Hypertrophic cardiomyopathy (HCM)","Dilated cardiomyopathy (DCM)","Serous Ovarian Cancer Tumor","Dysplasia","Unknown","Insulin resistant","Major depression","Bipolar disorder","Schizophrenia","Cancer","AD","Early age-related maculopathy","Late non-exudative age-related maculopathy","Alzheimer's","AMD"
"CSPG5",0.489321604349987,0.000901982061922884,2.72428358465873e-32,8.43160949634524e-05,2.14846904908216e-08,4.51449389372693e-06,6.45062281856183e-07,0.00652400513487726,0.00474123620681681,9.86271199127541e-16,5.01706018338647e-54,0.918522166576618,0.529591382895304,0.101173822085425,0.199332659883339,9.38854283664463e-11
"CSRNP3",0.998927389469964,0.0106175107998937,1.50078243533737e-23,0.00725309282228602,0.000307090908886092,9.34168355719064e-05,4.50495739739693e-05,0.188277527815453,0.084674773547186,4.66512999410384e-07,7.71556842445616e-29,0.576088600943246,2.55585735911908e-06,2.87946556202589e-05,0.516613378849615,5.66777541271654e-09
"CST7",0.291091536286125,0.0924441310076344,7.74241172842677e-13,0.0523913426599302,0.740365477898414,0.134092516174314,0.0330319917080957,0.791095360986935,0.384590644271947,0.771213711712476,1.21517666108315e-08,0.270776533691084,0.0253041279304027,0.0319404521626376,0.0401714706352792,0.00125210484188855
"CTBP2",0.00218536246193191,0.00104810244117889,1.15389448610028e-24,8.26931206384628e-08,0.000583284765901674,0.111981647245692,2.8749061477778e-06,6.22983287444591e-06,0.00011756886371973,0.00553198145800375,1.15696967675614e-15,0.00245130473023639,0.452961265069284,0.250945032045153,0.0465093401007874,2.35667380853909e-20
"CTNNA2",0.574251989260751,0.00169368153837576,1.20716915184705e-31,2.92433553086137e-06,7.78359441340985e-07,6.13071935342832e-163,1.80641427380377e-08,0.0063278357549504,0.000974747802040888,3.87024992987657e-15,1.37089124980771e-35,0.221782619647528,0.00283151630021824,0.000892008966218969,0.289632973420748,6.17564617100661e-09
"CTNND2",0.807904578936916,0.0942534919819885,4.79504280466753e-11,0.0501158966841402,0.00440859819140227,1.77112081574811e-09,0.00209536785929835,0.845093943219898,0.432015638923297,0.00236231127275246,8.51496691557139e-07,0.712377077612595,0.00503513737749372,0.0421556171053159,0.0429856064128127,0.00281766772587023
"CTSV",0.0374539575351868,1.05605780153942e-05,7.86332055018381e-84,1.50499948645837e-74,4.91394554203731e-09,4.14645442083131e-05,2.08687253759729e-19,9.33531983659197e-13,2.86454569671055e-09,4.97687488143158e-08,1.03080873058016e-37,0.695886538519581,0.00256982174423788,0.0661864487429916,3.7423975553685e-07,9.52326812348133e-12
"CTSW",0.137032352838047,0.0762581910953746,2.50104819867463e-10,0.000146663542246179,0.0587016757354165,0.0236252009051198,0.00105971145111823,0.351289859511748,0.172464377095326,0.892274998056599,0.000699277448920441,0.159551985362704,0.165997792696957,0.0113525692452144,0.0721344711014723,2.48907804029607e-05
"CTTNBP2",0.607655113993142,0.0022873461341372,3.59802267979028e-24,0.582061243139378,0.500378591414535,0.376507950949816,0.0222449164568365,0.0654602957208521,0.048811844361681,0.00371071536656661,2.50190535094483e-47,0.0176538784976066,0.00131900335135008,0.000438033604241952,0.208720066013251,3.85877447765179e-07
"CUEDC1",0.276481761594768,0.00131676594659827,2.53892142075988e-20,0.00640625558495555,0.0378975504444787,0.0178631258722855,0.00537812488355327,0.0227874282981083,0.00367246985846911,0.241599560285431,5.49729113500199e-20,3.33735192484907e-05,0.2877819914225,0.457862091905734,0.0610031600450712,1.76900344411438e-16
